hour_id,date,group,mission_time,text,person,words_count
14554800,14552460,Earth,00:00:07:04,"11, this is Houston. Roger. You're GO from the ground at 7 minutes. Level sense arm at 8 plus 17; outboard cut-off at 9 plus 11.",CC,26
14554800,14551523,Earth,00:00:22:41,"Apollo 11, this is Houston. One minute to LOS Canary; A0S at Tananarive 37 04 in VHF Simplex Alfa. Over.",CC,20
14554800,14552077,Earth,00:00:13:27,"Apollo 11, this is Houston. The booster has been configured for orbital coast. Both spacecraft are looking good. Over.",CC,19
14554800,14551774,Earth,00:00:18:30,Roger. And I'd like to pass up your Delta azimuth correction at this time if you're ready to copy.,CC,19
14554800,14551762,Earth,00:00:18:42,"Okay. Delta azimuth correction is plus 0.22, that is plus 0.22, and we do recommend the P52 alignment. Over.",CC,19
14554800,14551496,Earth,00:00:23:08,"Apollo 11, this is Houston. Coming up on LOS Canary; AOS Tananarive at 37 04, Simplex Alfa. Houston. Out.",CC,19
14554800,14552504,Earth,00:00:06:20,"Apollo 11, this is Houston. Level sense arm at 8 plus 17; outboard cut-off at 9 plus 11.",CC,18
14554800,14552370,Spacecraft,00:00:08:34,"Well, it looks like a nice day for it. These thunderstorms down range is about all.",CDR,16
14554800,14552011,Earth,00:00:14:33,"Apollo 11, this is Houston. Vanguard LOS at 15 35; AOS Canaries at 16 30. Over.",CC,16
14554800,14551781,Spacecraft,00:00:18:23,"Roger. Reading you loud and clear. Our insertion checklist is complete, and we have no abnormalities.",CDR,16
14554800,14552549,Spacecraft,00:00:05:35,"You sure sound clear down there, Bruce. Sounds like you're sitting in your living room.",CDR,15
14554800,14552260,Earth,00:00:10:24,"Apollo 11, this is Houston. Predicted cut-off at 11 plus 42. Over.",CC,12
14554800,14551750,Spacecraft,00:00:18:54,"Okay. We'll go ahead with the P52, and detecting angle plus 0.22.",CDR,12
14554800,14552283,Earth,00:00:10:01,"Apollo 11, this is Houston. At 10 minutes, you are GO.",CC,11
14554800,14552158,Earth,00:00:12:06,"Apollo 11, this is Houston. You are confirmed GO for orbit.",CC,11
14554800,14551743,Earth,00:00:19:01,Roger. And your LOS time at Canary is 23 37. Over.,CC,11
14554800,14552761,Earth,00:00:02:03,"Apollo 11, this is Houston. You are GO for staging.",CC,10
14554800,14552709,Earth,00:00:02:55,"11, Houston. Thrust is GO, all engines. You're looking good.",CC,10
14554800,14552668,Spacecraft,00:00:03:36,Yes. They finally gave me a window to look out.,CDR,10
14554800,14552545,Earth,00:00:05:39,"Oh, thank you. You all are coming through beautifully, too.",CC,10
14554800,14552521,Earth,00:00:06:03,"Roger, 11. You're GO from the ground at 6 minutes.",CC,10
14554800,14552352,Earth,00:00:08:52,"11, this is Houston. You are GO for staging. Over.",CC,10
14554800,14552221,Earth,00:00:11:03,"Apollo 11, this is Houston. You are GO at 11.",CC,10
14554800,14552660,Earth,00:00:03:44,"11, Houston. Your guidance has converged; you're looking good.",CC,9
14554800,14552385,Earth,00:00:08:19,"Apollo 11, Houston. You are GO at 8 minutes.",CC,9
14554800,14552140,Earth,00:00:12:24,"Apollo 11, this is Houston. The booster is safe.",CC,9
14554800,14552822,Earth,00:00:01:02,"Apollo 11, Houston. You're good at 1 minute.",CC,8
14554800,14552676,Spacecraft,00:00:03:28,"Houston, be advised the visual is GO today.",CDR,8
14554800,14552643,Earth,00:00:04:01,"11, Houston. YOU are GO at 4 minutes.",CC,8
14554800,14552581,Earth,00:00:05:03,"11, Houston. You are GO at 5 minutes.",CC,8
14554800,14552524,Spacecraft,00:00:06:00,We're doing 6 minutes. Starting the gimbal motors.,CDR,8
14554800,14552380,Earth,00:00:08:24,"Roger. We got PU shift down here, too.",CC,8
14554800,14551786,Earth,00:00:18:18,"Apollo 11, this is Houston through Canary. Over.",CC,8
14554800,14552850,Spacecraft,00:00:00:34,Roll's complete and the pitch is programed.,CDR,7
14554800,14552563,Earth,00:00:05:21,Stand by the S-IVB to COI capability.,CC,7
14554800,14552382,Spacecraft,00:00:08:22,AGS just got the mixture ratio shift.,CDR,7
14554800,14552348,Spacecraft,00:00:08:56,"Understand, GO for staging. And - -",CDR,7
14554800,14552179,Spacecraft,00:00:11:45,SECO. We are showing 101.4 by 103.6.,CMP,7
14554800,14552173,Earth,00:00:11:51,Roger. Shutdown. We copy 101.4 by 103.6.,CC,7
14554800,14551826,Earth,00:00:17:38,... Houston COMM TECH. Canary COMM TECH.,CT,7
14554800,14552871,Spacecraft,00:00:00:13,Roger. We got a roll program.,CDR,6
14554800,14552770,Earth,00:00:01:54,Stand by for mode 1 Charlie.,CC,6
14554800,14552705,Spacecraft,00:00:02:59,"Roger. You're loud and clear, Houston.",CDR,6
